z smd
0.00011450509496000503 876766918.613224
0.00012264867382504757 185237345.4258213
0.0001593633406941607 299583230.66780686
0.0001796917113793138 11386834462.740042
0.0001835224702833818 7583411917.73585
0.00018357768653404208 4691912979.993032
0.0001865716428154486 2926389170.85559
0.0001870155268553514 1812811094.7785916
0.00020144314067198617 1132098322.9998827
0.0003128126674600728 765604394.6168252
0.00033687031986035014 481002534.1035352
0.0006087861436057287 369747491.7329285
0.0008361808315246078 1329879550.1172647
0.0008918441311580298 955412275.4188714
0.0009413534053410111 672787544.3904207
0.0010712841428459966 508527515.6181449
0.0012838784410529552 417058761.40799975
0.0015819841263001993 370709869.661602
0.001972900710554792 401599870.72258276
0.0022197247670348533 352992292.6323424
0.002550287742331814 295664283.7822083
0.0030917538552117673 284117760.2718487
0.0036695217670297178 314311484.53996336
0.0043003056843630314 333398422.49079055
0.004906167735993638 293681328.82232684
0.005734537253052507 262874952.74330893
0.006734555203665433 234988728.3632151
0.008042074017048604 225564264.94928887
0.009346601365694696 199801037.6996035
0.010976880090842106 181472754.98194617
0.013300345565144246 201642598.72666937
0.015677887038256188 223190940.49099144
0.018048733809387846 219190318.1933761
0.0209584103433991 207494211.69770277
0.02484593141299852 194906963.7644211
0.029488369675034983 187804925.03853643
0.03458985782491113 187787376.07712507
0.04064112317886323 182156958.13299164
0.048291278672304254 194018097.03559476
0.05670905584179988 207398812.10875338
0.0669691701071916 218861025.78494138
0.07351854273792051 223847572.4244607
0.07991303088563573 198188232.5770789
0.08524878123852014 197930124.7857112
0.09092259130604675 197651447.82757095
0.09695363360848633 197350471.22890714
0.10336212247436746 197025294.27830076
0.11016959331318706 196673802.03406915
0.11739799260680966 196293754.5189794
0.125070836081123 195882643.84741056
0.13321211432485616 195437807.35290837
0.14184747035060188 194956274.02179316
0.15100342454707333 194434841.75445217
0.16070749985967858 193870050.99327716
0.17098907773869695 193258054.37495658
0.18187809782314854 192594777.49635494
0.19340637069297406 191875726.18959144
0.20560710277120162 191096036.30418938
0.2185148691955878 190250469.72553176
0.232166001473265 189333347.0779619
0.24659833777395176 188338585.26546514
0.2618518924615398 187259584.7498991
0.27796834302854007 186089325.67498377
0.2949915489438805 184820293.8152251
0.31296765590308345 183444484.62280682
0.3319452364786688 181953412.7617958
0.3519754677926386 180338128.07821733
0.37311227027234944 178589257.59928384
0.395412670054511 176697013.49058375
0.4189370837219 174651233.22528398
0.44374914642440905 172441569.50583592
0.4699167000169798 170057397.79886398
0.4975114119822553 167488122.86295316
0.5266097140126685 164723144.64941296
0.5572927007601416 161752162.25112358
0.5896467255858467 158565305.7319052
0.6237638299064425 155153348.28561133
0.6597420800219269 151507991.64541587
0.6976861335548838 147622104.665139
0.7377076947830455 143490037.2147398
0.7799260510563923 139107938.0809806
0.8244685328957453 134474143.74700114
0.8714713525760753 129589425.37375078
0.9210799756613056 124457484.45921701
0.9734497976399633 119085353.6467769
1.0287470525335511 113483713.8813175
1.0871492728286811 107667500.2659985
1.1488461872539562 101656348.45397145
1.2140405250731068 95475159.69254981
1.282948799035734 89154745.03631599
1.355802258935322 82732391.28559905
1.4328478287658146 76252350.59807736
1.514349046755308 69766062.78491491
1.6005872016949052 63331744.44786367
1.6918624071132333 57013230.47173263
1.7884947856281541 50877780.92085746
1.8908258227698327 44992839.265283674
1.9992196297760003 39422160.74151074
2.1140644834271387 34221635.11869631
2.235774325664731 29435608.533692945
2.364790498985312 25094164.03683827
2.5015834886224932 21211853.12211894
2.6466548905825937 17787900.003983974
2.800539458723514 14807772.446040984
2.9638073504694478 12245717.498120986
3.1370665014472316 10067830.04354806
3.320965202298975 8235197.143778077
3.516194854871962 6706774.755919678
3.7234929346998373 5441766.574624479
3.9436461582112665 4401405.107950523
4.177493884881502 3550134.2990584807
4.4259317781716945 2856264.5178922904
4.689915700095123 2292208.0999804363
4.970465918982685 1834406.9611610547
5.268671593463478 1463060.9878528316
5.585695567778167 1161743.0998447926
5.922779527454835 916966.4068393183
6.281249501864585 717749.803801189
6.662521760403864 555209.886293415
7.06810912140229 422194.81323604804
7.49962769305849 312966.4225494875
7.958804109690458 222930.72047888767
